miRNA,mock_1,mock_2,hcmv_72h_1,hcmv_72h_2
hsa-miR-1243,0.056650854,0.088542374,0.256202699,0
hsa-miR-1244,0.009441809,0,0.192152025,0.114615057
hsa-miR-1245a,0.311579697,0.590282491,0,0.229230115
hsa-miR-1245b-3p,0.481532259,0.206598872,0,0
hsa-miR-1245b-5p,0.170530632,0.177084747,0,0
hsa-miR-1246,0.145325177,0.124374565,5.929505141,7.47391994
hsa-miR-1247-3p,2.832542702,2.065988719,0.854008998,1.604610805
hsa-miR-1247-5p,4.022210637,4.01392094,5.636459389,8.59612931
hsa-miR-1248,1.133017081,0.826395488,1909.852348,1886.201308
hsa-miR-1249,0.509857686,0.678824865,0.512405399,0.687690345
hsa-miR-1250-3p,0,0,0,0
hsa-miR-1250-5p,0,0.029514125,0.512405399,0.229230115
hsa-miR-1251-3p,0,0,0,0
hsa-miR-1251-5p,0,0,0,0
hsa-miR-1252-3p,0,0,0,0
hsa-miR-1252-5p,0.212440703,0.309898308,0.278976273,0.687690345
hsa-miR-1253,0,0,0,0
hsa-miR-1254,0,0,0,0
hsa-miR-1255a,0.708135676,1.197289653,0,0.687690345
hsa-miR-1255b-2-3p,0,0,0,0
hsa-miR-1255b-5p,0.061008612,0.025664456,0.066835487,0.019933053
hsa-miR-1256,0.172785105,0.241032017,0.298903149,0
hsa-miR-1257,0.028325427,0.118056498,0.768608098,0
hsa-miR-1258,0,0,0,0
hsa-miR-125a-3p,34.91593971,34.21674281,44.10956476,40.97116178
hsa-miR-125a-5p,29173.75338,29150.84813,22465.17007,22249.89155
hsa-miR-125b-1-3p,1312.740267,1330.895887,491.2866798,498.7411775
hsa-miR-125b-2-3p,219.0592223,226.9801533,158.3509428,152.416195
hsa-miR-125b-5p,123605.3527,123582.3065,66862.3052,66113.57408
hsa-miR-126-3p,141.7567914,145.3637393,449.4552312,493.2267973
hsa-miR-126-5p,9.687296042,10.72838428,53.2901615,52.14985115
hsa-miR-1260a,1.71589506,1.767466768,0.906254255,1.289018083
hsa-miR-1260b,1.435827401,1.3647278,0.9105243,1.268005323
hsa-miR-1261,0.001133017,0.00245951,0.568864883,0.385111062
hsa-miR-1262,0.76478653,1.579005664,1.024810798,0.343845172
hsa-miR-1263,0,0,0,0
hsa-miR-1264,0,0,0,0
hsa-miR-1265,0.028325427,0,0,0
hsa-miR-1266-3p,0,0,0,0
hsa-miR-1266-5p,0.028325427,0,1.281013497,1.146150575
hsa-miR-1267,0,0,0.12810135,0.009169205
hsa-miR-1268a,0,0,0,0
hsa-miR-1268b,0,0,0,0
hsa-miR-1269a,0,0,0,0
hsa-miR-1269b,0.009441809,0,0,0
hsa-miR-127-3p,14222.81292,14204.93482,10148.3383,10009.99701
hsa-miR-127-5p,36.23341978,38.86353164,62.59549402,63.16381239
hsa-miR-1270,0.594833968,0.442711868,1.024810798,1.604610805
hsa-miR-1271-3p,0.005926059,0,0.022299124,0.004877236
hsa-miR-1271-5p,71.20916204,75.86354913,102.4065013,96.25812715
hsa-miR-1272,0,0,0,0
hsa-miR-1273a,0,0,0,0
hsa-miR-1273c,0,0,0,0
hsa-miR-1273d,0,0,0,0
hsa-miR-1273f,0,0,0,0
hsa-miR-1273g-3p,0,0,0,0
hsa-miR-1273g-5p,0,0,0,0
hsa-miR-1273h-3p,0,0,0,0
hsa-miR-1273h-5p,0,0,0,0
hsa-miR-1275,0.073960837,0.098380415,0,0.009966527
hsa-miR-1276,0.665647535,0.725555562,4.110888769,5.807162912
hsa-miR-1277-3p,0.878088238,0.900180799,3.202533744,3.667681839
hsa-miR-1277-5p,0,0,0,0
hsa-miR-1278,0.651484822,0.678824865,0.640506749,1.260765632
hsa-miR-1279,0,0,0,0
hsa-miR-128-1-5p,12.22242176,10.9940114,18.95899976,22.34993621
hsa-miR-128-2-5p,0,0,0,0
hsa-miR-128-3p,167.858841,169.8773045,215.1248667,219.3775863
hsa-miR-1281,0,0,0,0
hsa-miR-1282,0,0,0,0
hsa-miR-1283,0,0,0,0
hsa-miR-1284,0.708135676,0.560768367,0,0.91692046
hsa-miR-1285-3p,0,0,0,0
hsa-miR-1285-5p,0,0,0,0
hsa-miR-1286,0.113301708,0.088542374,12.55393228,11.48697576
hsa-miR-1287-3p,0,0.029514125,0,0
hsa-miR-1287-5p,34.37223128,35.53711412,13.70684442,19.36994471
hsa-miR-1288-3p,0.028325427,0,0.0854009,0.687690345
hsa-miR-1288-5p,0,0,0,0.229230115
hsa-miR-1289,0.303689043,0.253821471,0.12810135,0.511947257
hsa-miR-129-1-3p,0.014162714,0.014757062,0.384304049,0.343845172
hsa-miR-129-2-3p,0.014162714,0.014757062,2.690128345,4.011527011
hsa-miR-129-5p,0.991389946,0.531254242,154.1443542,157.1263281
hsa-miR-1290,0.001888362,0,0.021350225,0.019970805
hsa-miR-1291,0.368230551,0.799447809,950.7280082,967.5155914
hsa-miR-1292-3p,0,0,0.256202699,0
hsa-miR-1292-5p,3.1441224,4.117220376,8.967094482,7.106133563
hsa-miR-1293,0.28325427,0.059028249,0,0.687690345
hsa-miR-1294,4.680776816,3.940135629,3.074432394,3.209221609
hsa-miR-1295a,1.926129038,1.711819225,3.586837793,1.604610805
hsa-miR-1295b-3p,0,0,0,0
hsa-miR-1295b-5p,0,0,0,0
hsa-miR-1296-3p,0.028325427,0.059028249,0.768608098,0.45846023
hsa-miR-1296-5p,152.9894166,154.5000729,243.7609928,247.5588679
hsa-miR-1297,0.00108944,0.00851369,0,0
hsa-miR-1298-3p,0,0,0,0
hsa-miR-1298-5p,0,0,0,0
hsa-miR-1299,0.685910077,0.82816645,1.174974047,1.012433008
hsa-miR-1301-3p,65.1579512,66.34653802,109.8749998,112.512312
hsa-miR-1301-5p,0,0,0,0
hsa-miR-1302,0.224524459,0.064011928,0.100651061,0
hsa-miR-1303,0,0,0,0
hsa-miR-1304-3p,6.288244799,7.70318651,6.148864788,3.896911954
hsa-miR-1304-5p,0,0,0,0
hsa-miR-1305,0.198277989,0.059028249,0,0
hsa-miR-1306-3p,1.685362908,1.372406792,3.843040492,2.636146322
hsa-miR-1306-5p,0.424881405,0.501740118,0.512405399,1.37538069
hsa-miR-1307-3p,41.86498114,46.80940155,109.0142486,103.726627
hsa-miR-1307-5p,136.6678249,137.4521971,958.9667042,957.4330621
hsa-miR-130a-3p,603.6829089,587.5653409,580.6584081,572.9572671
hsa-miR-130a-5p,0.878088238,0.678824865,1.793418896,1.604610805
hsa-miR-130b-3p,50.29247842,48.91835889,80.9280277,82.04527864
hsa-miR-130b-5p,137.5307388,140.3506364,131.7266179,124.9074896
hsa-miR-132-3p,21.80562186,19.80102617,70.96814776,84.38942946
hsa-miR-132-5p,64.96872464,62.8266701,243.0082605,226.0590983
hsa-miR-1321,0,0,0,0
hsa-miR-1322,0.185606088,0.19184181,0.512405399,0.45846023
hsa-miR-1323,0,0,0.512405399,0.229230115
hsa-miR-1324,0,0,0,0
hsa-miR-133a-3p,6.939729621,6.876791023,3.458736443,3.285631647
hsa-miR-133a-5p,0.056650854,0.088542374,0,0
hsa-miR-133b,0.160510753,0.147570623,0.064050675,0.152820077
hsa-miR-134-3p,1.076366227,2.061069698,1.281013497,1.83384092
hsa-miR-134-5p,281.720652,284.2660958,545.2719592,561.3210481
hsa-miR-1343-3p,12.12800367,10.35945772,14.85975657,16.04610805
hsa-miR-1343-5p,0,0.059028249,0,0.114615057
hsa-miR-135a-3p,0,0,0,0
hsa-miR-135a-5p,0,0,0.576456074,0.45846023
hsa-miR-135b-3p,0,0,0,0.45846023
hsa-miR-135b-5p,0.28325427,0.275465163,1.024810798,1.604610805
hsa-miR-136-3p,2180.246952,2157.603335,2302.650229,2241.067673
hsa-miR-136-5p,68.36801641,74.5514574,94.40073133,84.82469378
hsa-miR-137,11.18854367,12.98723254,12.55393228,13.52457678
hsa-miR-138-1-3p,3.244394411,3.873728849,6.661270187,7.564593793
hsa-miR-138-2-3p,0,0,0,0
hsa-miR-138-5p,13.41366333,13.85688148,42.30760578,48.64008339
hsa-miR-139-3p,0.056650854,0,0,0.687690345
hsa-miR-139-5p,0.226603416,0.147570623,1.793418896,2.292301149
hsa-miR-140-3p,1851.081802,1845.042734,1177.480344,1204.180178
hsa-miR-140-5p,41.28674816,43.09667604,21.77722946,27.35479372
hsa-miR-141-3p,0.254928843,0.442711868,2.305824295,1.83384092
hsa-miR-141-5p,0,0,0,0.229230115
hsa-miR-142-3p,0.029414867,0,0,0
hsa-miR-142-5p,0.778949243,0.383683619,1.409114847,1.604610805
hsa-miR-143-3p,114219.3518,114799.1332,131760.5673,135379.9259
hsa-miR-143-5p,740.8214674,830.8631096,344.6715093,394.5143062
hsa-miR-144-3p,0.113301708,0.51649718,0.512405399,0.91692046
hsa-miR-144-5p,0.141627135,0,0.512405399,0
hsa-miR-145-3p,3557.40359,3572.079964,1738.520294,1756.48042
hsa-miR-145-5p,537.2271288,568.6060474,84.36118214,93.79438858
hsa-miR-1468-3p,0,0,0,0
hsa-miR-1468-5p,31.58285113,31.93674229,14.09114847,16.04610805
hsa-miR-1469,0,0,0.12810135,0
hsa-miR-146a-3p,0.199694261,0.132813561,6.121414499,8.59067145
hsa-miR-146a-5p,198.442014,201.0260944,4043.600413,4080.596174
hsa-miR-146b-3p,16.22905341,16.81105616,16.27911953,17.63925734
hsa-miR-146b-5p,781.1909035,789.4158216,1608.677017,1606.419682
hsa-miR-1470,0,0,0,0
hsa-miR-1471,0,0,0,0
hsa-miR-147a,0,0,0.256202699,0
hsa-miR-147b,0.410718692,0.693581927,33.30635093,35.3014377
hsa-miR-148a-3p,1565.396336,1584.201078,1754.912931,1752.140386
hsa-miR-148a-5p,12.3640489,12.52874588,73.40207341,78.74054448
hsa-miR-148b-3p,1202.397963,1211.208083,1009.186495,996.9860246
hsa-miR-148b-5p,44.00827179,44.07934503,55.46788444,60.40213529
hsa-miR-149-3p,0,0.088542374,0.256202699,0.114615057
hsa-miR-149-5p,392.7221214,401.7966849,1165.097517,1145.629986
hsa-miR-150-3p,0,0,0,0
hsa-miR-150-5p,0.141627135,0,0.256202699,0.229230115
hsa-miR-151a-3p,3272.121788,3233.953464,3284.433848,3294.642792
hsa-miR-151a-5p,2376.304665,2468.625539,2460.13582,2527.547554
hsa-miR-151b,126.6793471,133.2782827,212.0915177,228.4563091
hsa-miR-152-3p,2232.18512,2294.750362,1775.380068,1878.625273
hsa-miR-152-5p,70.31551214,75.3003698,43.76796116,47.29781372
hsa-miR-153-3p,2.164062625,2.302101716,1.793418896,3.323836667
hsa-miR-153-5p,0.056650854,0.029514125,0.12810135,0
hsa-miR-1537-3p,0,0,0,0
hsa-miR-1537-5p,0.028325427,0.059028249,0,0
hsa-miR-1538,0.57055503,0.715717521,1.281013497,0.687690345
hsa-miR-1539,0.028325427,0,0,0
hsa-miR-154-3p,14.48845592,13.76342009,32.05736277,36.90604851
hsa-miR-154-5p,0.793111957,0.988723173,1.281013497,1.83384092
hsa-miR-155-3p,0,0.147570623,0.256202699,0.229230115
hsa-miR-155-5p,83.27203455,89.70408242,81.21625574,81.31938327
hsa-miR-1587,0,0,0,0
hsa-miR-15a-3p,1.345457784,1.328135605,3.714939143,3.438451724
hsa-miR-15a-5p,21.97028026,20.08295633,33.00744779,34.99579755
hsa-miR-15b-3p,45.07031794,47.18938147,80.57574899,76.56285839
hsa-miR-15b-5p,195.3300949,200.9793826,215.9788757,230.9493408
hsa-miR-16-1-3p,3.328237675,3.03995483,3.971141842,5.730752873
hsa-miR-16-2-3p,89.39168123,93.83769953,220.6493742,193.432012
hsa-miR-16-5p,1380.819674,1405.393476,2143.506742,2091.142842
hsa-miR-17-3p,8.165372994,7.928880126,27.32645793,33.86874948
hsa-miR-17-5p,36.29756861,32.83797716,11.14481743,12.68406636
hsa-miR-181a-2-3p,432.9362126,428.2093655,60.03683258,58.79752448
hsa-miR-181a-3p,139.7954242,151.8501709,27.92609425,22.99942153
hsa-miR-181a-5p,2251.043402,2353.384803,3378.416897,3412.978437
hsa-miR-181b-3p,4.238408795,4.749113768,2.214323331,1.260765632
hsa-miR-181b-5p,294.9884344,306.1340019,294.2915008,297.8616114
hsa-miR-181c-3p,111.5809384,119.1116282,73.65827611,66.47673333
hsa-miR-181c-5p,13.8369711,14.53939561,62.25725598,66.27297323
hsa-miR-181d-3p,2.567497635,2.628310461,1.281013497,2.521531264
hsa-miR-181d-5p,35.59561996,34.51430916,63.66637083,69.91518506
hsa-miR-182-3p,0.028325427,0,13.45064172,17.61251383
hsa-miR-182-5p,4.355034405,5.253514172,627.4971689,592.292412
hsa-miR-1825,0,0,0,0
hsa-miR-1827,0.002575039,0,0,0
hsa-miR-183-3p,0.141627135,0.029514125,50.08762775,49.0552446
hsa-miR-183-5p,2.620102,2.479186463,1240.605182,1260.007959
hsa-miR-184,2.648427427,3.025197767,1.921520246,4.011527011
hsa-miR-185-3p,9.868848541,8.897427452,36.46618423,36.76086943
hsa-miR-185-5p,837.8087587,864.5719014,1597.363359,1656.568998
hsa-miR-186-3p,1.014994468,1.12547195,2.860930144,3.323836667
hsa-miR-186-5p,4141.125534,4146.939845,9721.749649,9723.488783
hsa-miR-187-3p,0.028325427,0,0.512405399,0.229230115
hsa-miR-187-5p,0,0,0,0.229230115
hsa-miR-188-3p,1.561045756,1.313378543,10.76051338,13.18073161
hsa-miR-188-5p,1.076366227,0.886291799,11.14481743,11.88176096
hsa-miR-18a-3p,6.239906842,7.536163396,17.93418896,19.71378988
hsa-miR-18a-5p,2.846705416,2.671028273,15.96996827,14.93270463
hsa-miR-18b-3p,0,0,0,0
hsa-miR-18b-5p,0.028325427,0.073785311,0.512405399,0.229230115
hsa-miR-1908-3p,0.184115276,0.398440682,0.256202699,0.45846023
hsa-miR-1908-5p,8.894184086,8.883751493,5.892662088,7.106133563
hsa-miR-1909-3p,0.269091557,0.767367239,0.512405399,0
hsa-miR-1909-5p,0,0.059028249,0.768608098,0.687690345
hsa-miR-190a-3p,2.823100893,2.474267442,2.049621596,1.604610805
hsa-miR-190a-5p,2.166895167,2.00696047,2.049621596,4.813832414
hsa-miR-190b,0.453206832,0.265627121,1.793418896,1.83384092
hsa-miR-191-3p,10.82975493,11.58429389,13.57874307,14.44149724
hsa-miR-191-5p,12632.91856,12860.94913,18163.21192,17872.23901
hsa-miR-1910-3p,0.074860057,0.029514125,0,0
hsa-miR-1910-5p,1.019715373,0.664067803,2.049621596,2.292301149
hsa-miR-1911-3p,0,0,0,0
hsa-miR-1911-5p,0.028325427,0,0,0
hsa-miR-1912,0,0,0,0
hsa-miR-1913,0.198277989,0.118056498,0,0
hsa-miR-1914-3p,0.141627135,0.088542374,0.256202699,0
hsa-miR-1914-5p,0.084976281,0.088542374,0,0
hsa-miR-1915-3p,0,0,0,0
hsa-miR-1915-5p,0,0.118056498,0,0
hsa-miR-192-3p,0.113301708,0,0.256202699,0.687690345
hsa-miR-192-5p,183.3464459,181.2883884,634.8299781,644.9389284
hsa-miR-193a-3p,4.593440082,3.726322193,8.518739758,5.377182787
hsa-miR-193a-5p,215.6952942,216.218345,153.5935183,150.9735007
hsa-miR-193b-3p,67.76993126,74.1982419,71.47181898,78.79785201
hsa-miR-193b-5p,5.013600583,4.663231681,2.562026995,1.174804339
hsa-miR-194-3p,0.070813568,0.12789454,0.640506749,0.573075287
hsa-miR-194-5p,46.76413351,45.15157444,251.9077697,258.8226312
hsa-miR-195-3p,0.906413665,0.959209048,1.366414397,2.521531264
hsa-miR-195-5p,19.75983864,20.51916806,24.88826224,22.23532115
hsa-miR-196a-3p,7.559179733,6.750864091,6.789371537,6.769929395
hsa-miR-196a-5p,350.0920786,364.0714672,189.1572685,189.1307937
hsa-miR-196b-3p,1.246318789,1.092022609,4.611648591,5.558830287
hsa-miR-196b-5p,228.8545391,230.8186936,134.4321898,152.4793352
hsa-miR-197-3p,28.51485332,26.22636288,14.17654937,18.87327946
hsa-miR-197-5p,0.088516959,0.007378531,0,0.229230115
hsa-miR-1972,0,0,0,0
hsa-miR-1973,0.056650854,0.054929065,0.064050675,0.028653764
hsa-miR-1976,0.212440703,0.132813561,0.512405399,1.184355594
hsa-miR-198,0.028325427,0,0,0
hsa-miR-199a-3p,16120.46195,15812.26189,13481.65685,13378.79264
hsa-miR-199a-5p,97963.4963,95588.53061,43475.63509,42685.95401
hsa-miR-199b-3p,8045.436412,7891.228436,6737.381332,6683.675265
hsa-miR-199b-5p,10901.40531,10692.09313,4855.007047,4738.011066
hsa-miR-19a-3p,13.75772735,13.34259786,32.23097381,23.07322668
hsa-miR-19a-5p,0,0,0,0
hsa-miR-19b-1-5p,0.084976281,0.059028249,0,0.229230115
hsa-miR-19b-2-5p,0,0,0,0
hsa-miR-19b-3p,32.90924309,37.08209762,48.10019553,49.67787064
hsa-miR-200a-3p,2.124407027,2.907141269,12.16962823,11.00304552
hsa-miR-200a-5p,0.056650854,0.147570623,0,0.687690345
hsa-miR-200b-3p,7.04037308,6.983604045,20.10011845,22.41341532
hsa-miR-200b-5p,0.509857686,0.457468931,0.768608098,0.687690345
hsa-miR-200c-3p,2.237708735,1.829875723,4.86785129,5.272292644
hsa-miR-200c-5p,0,0,0,0
hsa-miR-202-3p,0,0,0,0
hsa-miR-202-5p,0,0,0,0
hsa-miR-203a,1.274644216,1.962689283,49.1909183,53.71625693
hsa-miR-203b-3p,0,0,3.394685768,2.979991494
hsa-miR-203b-5p,0,0,0,0
hsa-miR-204-3p,0.028325427,0.147570623,0,0
hsa-miR-204-5p,7.860305999,7.481830576,4.099243192,2.521531264
hsa-miR-205-3p,0,0,0,0
hsa-miR-205-5p,0.028325427,0.029514125,0,0
hsa-miR-2052,0,0,0,0
hsa-miR-2053,0,0,0,0
hsa-miR-2054,0,0,0,0
hsa-miR-206,0,0,0.256202699,0
hsa-miR-208a-3p,0,0,0,0
hsa-miR-208a-5p,0,0,0,0
hsa-miR-208b-3p,0,0.029514125,0,0.229230115
hsa-miR-208b-5p,0,0,0,0
hsa-miR-20a-3p,1.062203513,0.811638425,4.99595264,6.189213103
hsa-miR-20a-5p,24.64784242,22.73745008,9.863803931,10.85022544
hsa-miR-20b-3p,0,0,0.256202699,0.802305402
hsa-miR-20b-5p,0,0.009838042,0,0.305640153
hsa-miR-21-3p,1625.7837,1600.377392,1338.359827,1336.122696
hsa-miR-21-5p,21880.70355,22059.97501,17085.57351,16675.98908
hsa-miR-210-3p,41.42829748,45.64900456,54.74197679,48.44396429
hsa-miR-210-5p,0.731740198,0.806719405,0.256202699,0
hsa-miR-211-3p,0,0,0,0
hsa-miR-211-5p,0,0.029514125,0,0
hsa-miR-2110,19.85612434,16.28195872,10.50431068,8.023054023
hsa-miR-2113,0,0,0,0
hsa-miR-2114-3p,0.056650854,0.059028249,0,0
hsa-miR-2114-5p,0,0,0,0
hsa-miR-2115-3p,0,0,0.256202699,0
hsa-miR-2115-5p,0,0.059028249,0,0
hsa-miR-2116-3p,4.940426564,4.357760491,1.665317547,1.222560613
hsa-miR-2116-5p,0,0,0,0.229230115
hsa-miR-2117,0,0,0,0
hsa-miR-212-3p,0.821437384,1.151050858,18.44659436,16.50456828
hsa-miR-212-5p,45.51641605,45.24515295,297.5794355,300.3821875
hsa-miR-214-3p,341.4119578,356.3453086,160.6097405,166.8122101
hsa-miR-214-5p,64.6481145,68.42521845,109.1387916,112.6742425
hsa-miR-215-3p,0.113301708,0.029514125,0,0
hsa-miR-215-5p,5.533813802,5.155133757,60.20153432,51.00370057
hsa-miR-216a-3p,0.198277989,0.236112996,0.512405399,0
hsa-miR-216a-5p,1.671200194,1.918418096,4.86785129,3.667681839
hsa-miR-216b-3p,0,0,0,0
hsa-miR-216b-5p,0,0.059028249,0,0
hsa-miR-217,0.793111957,1.062508484,1.281013497,0.687690345
hsa-miR-218-1-3p,9.843085891,10.4725952,23.82075099,29.99094004
hsa-miR-218-2-3p,0.56650854,0.408278723,0,0
hsa-miR-218-5p,97.30314377,98.10396624,129.6779817,120.7278605
hsa-miR-219a-1-3p,0.424881405,0.737853114,0.512405399,0.45846023
hsa-miR-219a-2-3p,0,0,0,0
hsa-miR-219a-5p,0.339905124,0.265627121,0.768608098,0.91692046
hsa-miR-219b-3p,0.028325427,0.029514125,0,0.343845172
hsa-miR-219b-5p,2.237708735,2.302101716,1.537216197,2.750761379
hsa-miR-22-3p,40279.64751,40504.30215,30900.17011,30462.92234
hsa-miR-22-5p,40.7229388,42.90671842,90.46801989,102.6059464
hsa-miR-221-3p,3013.137279,3226.929143,4486.059903,4433.40115
hsa-miR-221-5p,1123.413258,1151.744587,2136.23426,2109.193997
hsa-miR-222-3p,9568.930275,10301.17835,3740.102329,3793.593021
hsa-miR-222-5p,53.83955542,59.06837428,14.60355387,16.96302851
hsa-miR-223-3p,0,0,0,0
hsa-miR-223-5p,0,0,0,0
hsa-miR-224-3p,42.61914564,45.04609658,43.93876296,49.51370483
hsa-miR-224-5p,3159.75291,3180.077434,2295.296805,2290.174182
hsa-miR-2276-3p,0,0,0.768608098,0
hsa-miR-2276-5p,0,0,0,0.229230115
hsa-miR-2277-3p,0.368230551,0.903460146,2.305824295,1.83384092
hsa-miR-2277-5p,18.31238857,18.23218275,26.13267535,24.5276223
hsa-miR-2278,0.269091557,0.329574391,1.537216197,0.91692046
hsa-miR-2355-3p,17.50493233,16.73877178,18.91629931,22.26079116
hsa-miR-2355-5p,81.28199173,77.97238187,59.71852014,59.50813784
hsa-miR-2392,0,0,0,0
hsa-miR-23a-3p,3428.034473,3516.114854,1493.617178,1507.174887
hsa-miR-23a-5p,2.695636472,3.236012943,3.87506583,5.730752873
hsa-miR-23b-3p,3338.604654,3458.783063,492.5154278,487.9606845
hsa-miR-23b-5p,103.6592903,116.4612509,69.21206485,75.29445175
hsa-miR-23c,0.579363927,2.217004648,1.250513176,2.778460018
hsa-miR-24-1-5p,16.5744213,21.00028343,21.26482406,22.25824416
hsa-miR-24-2-5p,113.8968118,124.0971963,63.06856453,75.04284441
hsa-miR-24-3p,24075.66214,23561.29518,26423.05007,26780.34473
hsa-miR-2467-3p,0,0.029514125,0,0
hsa-miR-2467-5p,0.76478653,1.505220353,11.27291878,8.939974483
hsa-miR-25-3p,1049.654167,1063.480316,1791.527267,1800.02064
hsa-miR-25-5p,27.00829467,31.19642966,69.17472886,72.66594644
hsa-miR-2681-3p,0,0.088542374,0,0
hsa-miR-2681-5p,0,0,0,0
hsa-miR-2682-3p,0.594833968,0.767367239,5.978062988,3.667681839
hsa-miR-2682-5p,11.86835392,13.13378543,48.6785129,45.21564017
